營運日,星期,總 運 量 (單位：人次)
106/1/1, 日 ,"1,884,302"
106/1/2, 一 ,"1,613,142"
106/1/3, 二 ,"2,086,078"
106/1/4, 三 ,"2,102,464"
106/1/5, 四 ,"2,121,532"
106/1/6, 五 ,"2,315,537"
106/1/7, 六 ,"1,939,773"
106/1/8, 日 ,"1,569,850"
106/1/9, 一 ,"2,045,798"
106/1/10, 二 ,"2,089,558"
106/1/11, 三 ,"2,114,674"
106/1/12, 四 ,"2,138,719"
106/1/13, 五 ,"2,360,351"
106/1/14, 六 ,"1,934,888"
106/1/15, 日 ,"1,659,418"
106/1/16, 一 ,"2,086,633"
106/1/17, 二 ,"2,137,437"
106/1/18, 三 ,"2,155,254"
106/1/19, 四 ,"2,302,054"
106/1/20, 五 ,"2,369,498"
106/1/21, 六 ,"2,014,707"
106/1/22, 日 ,"1,832,823"
106/1/23, 一 ,"2,204,738"
106/1/24, 二 ,"2,242,085"
106/1/25, 三 ,"2,172,966"
106/1/26, 四 ,"1,902,063"
106/1/27, 五 ,"791,835"
106/1/28, 六 ,"1,368,910"
106/1/29, 日 ,"1,408,008"
106/1/30, 一 ,"1,458,457"
106/1/31, 二 ,"1,611,514"
106/2/1,  三  ,"1,565,485"
106/2/2,  四  ,"1,990,640"
106/2/3,  五  ,"2,161,128"
106/2/4,  六  ,"1,994,773"
106/2/5,  日  ,"1,711,749"
106/2/6,  一  ,"2,145,657"
106/2/7,  二  ,"2,205,460"
106/2/8,  三  ,"2,247,330"
106/2/9,  四  ,"2,180,141"
106/2/10,  五  ,"2,360,414"
106/2/11,  六  ,"2,101,629"
106/2/12,  日  ,"1,828,262"
106/2/13,  一  ,"2,101,904"
106/2/14,  二  ,"2,165,802"
106/2/15,  三  ,"2,132,593"
106/2/16,  四  ,"2,141,177"
106/2/17,  五  ,"2,268,409"
106/2/18,  六  ,"2,228,255"
106/2/19,  日  ,"1,861,147"
106/2/20,  一  ,"2,126,807"
106/2/21,  二  ,"2,152,463"
106/2/22,  三  ,"2,140,162"
106/2/23,  四  ,"2,154,013"
106/2/24,  五  ,"2,345,214"
106/2/25,  六  ,"1,807,223"
106/2/26,  日  ,"1,721,436"
